instance 149	density: 0.14000	numEdges: 14
instance 150	density: 0.50073	numEdges: 125183
instance 151	density: 0.00333	numEdges: 300
instance 152	density: 0.50000	numEdges: 2
instance 153	density: 0.04556	numEdges: 41
instance 154	density: 0.37425	numEdges: 93562
instance 155	density: 0.00269	numEdges: 430
instance 156	density: 0.01549	numEdges: 3598
instance 157	density: 0.12539	numEdges: 20062
instance 158	density: 0.08205	numEdges: 20513
instance 159	density: 0.14100	numEdges: 35251
instance 160	density: 0.01290	numEdges: 129
instance 161	density: 0.01250	numEdges: 500
instance 162	density: 0.29807	numEdges: 74517
instance 163	density: 0.79784	numEdges: 161562
instance 164	density: 0.09694	numEdges: 19
instance 165	density: 0.06495	numEdges: 16237
instance 166	density: 0.15746	numEdges: 10726
instance 167	density: 0.29629	numEdges: 18518
instance 168	density: 0.48770	numEdges: 4877
instance 169	density: 0.01040	numEdges: 104
instance 170	density: 0.01043	numEdges: 2606
instance 171	density: 0.01190	numEdges: 119
instance 172	density: 0.00466	numEdges: 418
instance 173	density: 0.49210	numEdges: 4921
instance 174	density: 0.99800	numEdges: 249500
instance 175	density: 0.32849	numEdges: 82123
instance 176	density: 0.04810	numEdges: 480
instance 177	density: 0.59524	numEdges: 148809
instance 178	density: 0.01635	numEdges: 55
instance 179	density: 0.76073	numEdges: 190183
instance 180	density: 0.06166	numEdges: 15415
instance 181	density: 0.49786	numEdges: 123967
instance 182	density: 0.09985	numEdges: 24962
instance 183	density: 0.49947	numEdges: 124867
instance 184	density: 0.01635	numEdges: 55
instance 185	density: 0.12000	numEdges: 12
instance 186	density: 0.79704	numEdges: 199260
instance 187	density: 0.25120	numEdges: 627
instance 188	density: 0.49864	numEdges: 79782
instance 189	density: 0.04882	numEdges: 33
instance 190	density: 0.59744	numEdges: 79594
instance 191	density: 0.49967	numEdges: 124918
instance 192	density: 0.39924	numEdges: 99810
instance 193	density: 0.00005	numEdges: 12
instance 194	density: 0.45918	numEdges: 90
instance 195	density: 0.23880	numEdges: 59701
instance 196	density: 0.24000	numEdges: 6
instance 197	density: 0.02949	numEdges: 7372
instance 198	density: 0.01280	numEdges: 1927
instance 199	density: 0.99800	numEdges: 249500
instance 200	density: 0.11000	numEdges: 275
instance 201	density: 0.05750	numEdges: 23
instance 202	density: 0.49941	numEdges: 124853
instance 203	density: 0.18367	numEdges: 9
instance 204	density: 0.03878	numEdges: 14
instance 205	density: 0.03946	numEdges: 9865
instance 206	density: 0.00944	numEdges: 136
instance 207	density: 0.04100	numEdges: 410
instance 208	density: 0.18367	numEdges: 9
instance 209	density: 0.17284	numEdges: 13
instance 210	density: 0.49900	numEdges: 67944
instance 211	density: 0.14000	numEdges: 14
instance 212	density: 0.10360	numEdges: 4144
instance 213	density: 0.00047	numEdges: 116
instance 214	density: 0.00248	numEdges: 619
instance 215	density: 0.19820	numEdges: 1982
instance 216	density: 0.09722	numEdges: 14
instance 217	density: 0.01827	numEdges: 1342
instance 218	density: 0.00119	numEdges: 240
instance 219	density: 0.22288	numEdges: 55276
instance 220	density: 0.19974	numEdges: 49935
instance 221	density: 0.10107	numEdges: 25267
instance 222	density: 0.01250	numEdges: 180
instance 223	density: 0.99800	numEdges: 249500
instance 224	density: 0.01160	numEdges: 115
instance 225	density: 0.06889	numEdges: 61
instance 226	density: 0.22573	numEdges: 56433
instance 227	density: 0.00227	numEdges: 568
instance 228	density: 0.03360	numEdges: 84
instance 229	density: 0.49604	numEdges: 18096
instance 230	density: 0.01280	numEdges: 128
instance 231	density: 0.90000	numEdges: 90
instance 232	density: 0.56000	numEdges: 14
instance 233	density: 0.00216	numEdges: 464
instance 234	density: 0.01068	numEdges: 2669
instance 235	density: 0.00051	numEdges: 128
instance 236	density: 0.37406	numEdges: 66298
instance 237	density: 0.22563	numEdges: 56408
instance 238	density: 0.32000	numEdges: 80000
instance 239	density: 0.49460	numEdges: 4946
instance 240	density: 0.27778	numEdges: 10
instance 241	density: 0.10169	numEdges: 25422
instance 242	density: 0.78680	numEdges: 1967
instance 243	density: 0.15000	numEdges: 15
instance 244	density: 0.01926	numEdges: 4814
instance 245	density: 0.00201	numEdges: 497
instance 246	density: 0.00116	numEdges: 290
instance 247	density: 0.21000	numEdges: 21
instance 248	density: 0.00395	numEdges: 922
instance 249	density: 0.10049	numEdges: 25123
instance 250	density: 0.49941	numEdges: 56716
instance 251	density: 0.79735	numEdges: 161463
instance 252	density: 0.21000	numEdges: 21
instance 253	density: 0.10822	numEdges: 27054
instance 254	density: 0.49772	numEdges: 124431
instance 255	density: 0.00416	numEdges: 665
instance 256	density: 0.07015	numEdges: 14206
instance 257	density: 0.00515	numEdges: 1288
instance 258	density: 0.02620	numEdges: 6549
instance 259	density: 0.00230	numEdges: 23
instance 260	density: 0.00000	numEdges: 0
instance 261	density: 0.00110	numEdges: 11
instance 262	density: 0.00449	numEdges: 1123
instance 263	density: 0.07812	numEdges: 5
instance 264	density: 0.09945	numEdges: 24862
instance 265	density: 0.71233	numEdges: 178082
instance 266	density: 0.10007	numEdges: 4003
instance 267	density: 0.58650	numEdges: 5865
instance 268	density: 0.94828	numEdges: 237069
instance 269	density: 0.49656	numEdges: 12712
instance 270	density: 0.04981	numEdges: 12452
instance 271	density: 0.12583	numEdges: 20133
instance 272	density: 0.08889	numEdges: 20
instance 273	density: 0.10062	numEdges: 25156
instance 274	density: 0.59696	numEdges: 37310
instance 275	density: 0.69161	numEdges: 62244
instance 276	density: 0.49885	numEdges: 124213
instance 277	density: 0.00000	numEdges: 0
instance 278	density: 0.00273	numEdges: 628
instance 279	density: 0.06604	numEdges: 16510
instance 280	density: 0.99800	numEdges: 249500
instance 281	density: 0.00010	numEdges: 24
instance 282	density: 0.50522	numEdges: 126305
instance 283	density: 0.01250	numEdges: 500
instance 284	density: 0.19927	numEdges: 49818
instance 285	density: 0.02000	numEdges: 2
instance 286	density: 0.00346	numEdges: 859
instance 287	density: 0.36520	numEdges: 913
instance 288	density: 0.03247	numEdges: 7795
instance 289	density: 0.01997	numEdges: 184
instance 290	density: 0.49920	numEdges: 4991
instance 291	density: 0.49802	numEdges: 124505
instance 292	density: 0.44830	numEdges: 112074
instance 293	density: 0.00047	numEdges: 84
instance 294	density: 0.18750	numEdges: 12
instance 295	density: 0.32634	numEdges: 81584
instance 296	density: 0.49929	numEdges: 11234
instance 297	density: 0.00344	numEdges: 550
instance 298	density: 0.99800	numEdges: 249500
instance 299	density: 0.29837	numEdges: 74592
instance 300	density: 0.95000	numEdges: 380
instance 301	density: 0.00278	numEdges: 111
instance 302	density: 0.00616	numEdges: 1539
instance 303	density: 0.29930	numEdges: 2993
instance 304	density: 0.00400	numEdges: 999
instance 305	density: 0.36111	numEdges: 52
instance 306	density: 0.00030	numEdges: 12
instance 307	density: 0.31944	numEdges: 46
instance 308	density: 0.02989	numEdges: 7472
instance 309	density: 0.08889	numEdges: 20
instance 310	density: 0.31250	numEdges: 5
instance 311	density: 0.12245	numEdges: 24
instance 312	density: 0.00096	numEdges: 240
instance 313	density: 0.44982	numEdges: 112455
instance 314	density: 0.09430	numEdges: 943
instance 315	density: 0.02664	numEdges: 6659
instance 316	density: 0.25056	numEdges: 6988
instance 317	density: 0.01030	numEdges: 103
instance 318	density: 0.00388	numEdges: 971
instance 319	density: 0.08139	numEdges: 20348
instance 320	density: 0.49839	numEdges: 79742
instance 321	density: 0.02639	numEdges: 6598
instance 322	density: 0.12000	numEdges: 12
instance 323	density: 0.48578	numEdges: 19431
instance 324	density: 0.49796	numEdges: 124491
instance 325	density: 0.05016	numEdges: 4514
instance 326	density: 0.83333	numEdges: 30
instance 327	density: 0.49769	numEdges: 124422
instance 328	density: 0.99600	numEdges: 62250
instance 329	density: 0.00007	numEdges: 6
instance 330	density: 0.02305	numEdges: 922
